"TIME","GEO","AIRPOL","Value","Flag and Footnotes"
"2017","Portugal","Particulates < 10µm","18.5",""
"2017","Romania","Particulates < 2.5µm","20.4",""
"2017","Romania","Particulates < 10µm","26.6",""
"2017","Slovenia","Particulates < 2.5µm","19.7",""
"2017","Slovenia","Particulates < 10µm","24.8",""
"2017","Slovakia","Particulates < 2.5µm","17.5",""
"2017","Slovakia","Particulates < 10µm","24.2",""
"2017","Finland","Particulates < 2.5µm","4.9",""
"2017","Finland","Particulates < 10µm","10",""
"2017","Sweden","Particulates < 2.5µm","5.4",""
"2017","Sweden","Particulates < 10µm","11.8",""
"2017","Iceland","Particulates < 2.5µm","6.2",""
"2017","Iceland","Particulates < 10µm","14.8",""
"2017","Norway","Particulates < 2.5µm","7",""
"2017","Norway","Particulates < 10µm","11.6",""
"2017","Switzerland","Particulates < 2.5µm","10",""
"2017","Switzerland","Particulates < 10µm","15.3",""
"2017","United Kingdom","Particulates < 2.5µm","9.9",""
"2017","United Kingdom","Particulates < 10µm","15.6",""
"2018","Belgium","Particulates < 2.5µm","12.8",""
"2018","Belgium","Particulates < 10µm","21.5",""
"2018","Bulgaria","Particulates < 2.5µm","20.1",""
"2018","Bulgaria","Particulates < 10µm","33.8",""
"2018","Czechia","Particulates < 2.5µm","19.5",""
"2018","Czechia","Particulates < 10µm","25.8",""
"2018","Denmark","Particulates < 2.5µm","12",""
"2018","Denmark","Particulates < 10µm","18.3",""
"2018","Germany (until 1990 former territory of the FRG)","Particulates < 2.5µm","13.1",""
"2018","Germany (until 1990 former territory of the FRG)","Particulates < 10µm","18.8",""
"2018","Estonia","Particulates < 2.5µm","6.3",""
"2018","Estonia","Particulates < 10µm","13.3",""
"2018","Ireland","Particulates < 2.5µm","8.8",""
"2018","Ireland","Particulates < 10µm","13.3",""
"2018","Greece","Particulates < 2.5µm","13.4",""
"2018","Greece","Particulates < 10µm","27.1",""
"2018","Spain","Particulates < 2.5µm","11.7",""
"2018","Spain","Particulates < 10µm","19.8",""
"2018","France","Particulates < 2.5µm","11.7",""
"2018","France","Particulates < 10µm","18.3",""
"2018","Croatia","Particulates < 2.5µm","20.3",""
"2018","Croatia","Particulates < 10µm","33.8",""
"2018","Italy","Particulates < 2.5µm","16",""
"2018","Italy","Particulates < 10µm","26.1",""
"2018","Cyprus","Particulates < 2.5µm","13.2",""
"2018","Cyprus","Particulates < 10µm","29.9",""
"2018","Latvia","Particulates < 2.5µm","16.1",""
"2018","Latvia","Particulates < 10µm","23.3",""
"2018","Lithuania","Particulates < 2.5µm","8.5",""
"2018","Lithuania","Particulates < 10µm","20",""
"2018","Luxembourg","Particulates < 2.5µm","11.1",""
"2018","Luxembourg","Particulates < 10µm","21.1",""
"2018","Hungary","Particulates < 2.5µm","17.7",""
"2018","Hungary","Particulates < 10µm","27.6",""
"2018","Malta","Particulates < 2.5µm",":",""
"2018","Malta","Particulates < 10µm",":",""
"2018","Netherlands","Particulates < 2.5µm","11.8",""
"2018","Netherlands","Particulates < 10µm","20.2",""
"2018","Austria","Particulates < 2.5µm","15.5",""
"2018","Austria","Particulates < 10µm","21.8",""
"2018","Poland","Particulates < 2.5µm","24.3",""
"2018","Poland","Particulates < 10µm","33.2",""
"2018","Portugal","Particulates < 2.5µm","10.8",""
"2018","Portugal","Particulates < 10µm","18.8",""
"2018","Romania","Particulates < 2.5µm","20",""
"2018","Romania","Particulates < 10µm","26.4",""
"2018","Slovenia","Particulates < 2.5µm","18.3",""
"2018","Slovenia","Particulates < 10µm","24.1",""
"2018","Slovakia","Particulates < 2.5µm","16.9",""
"2018","Slovakia","Particulates < 10µm","24.8",""
"2018","Finland","Particulates < 2.5µm","6.4",""
"2018","Finland","Particulates < 10µm","11.5",""
"2018","Sweden","Particulates < 2.5µm","6.2",""
"2018","Sweden","Particulates < 10µm","13.1",""
"2018","Iceland","Particulates < 2.5µm","6.2",""
"2018","Iceland","Particulates < 10µm","11.3",""
"2018","Norway","Particulates < 2.5µm","6.1",""
"2018","Norway","Particulates < 10µm","13.5",""
"2018","Switzerland","Particulates < 2.5µm","11.1",""
"2018","Switzerland","Particulates < 10µm","15.4",""
"2018","United Kingdom","Particulates < 2.5µm","10.1",""
"2018","United Kingdom","Particulates < 10µm","15.5",""
"2019","Belgium","Particulates < 2.5µm","11.1",""
"2019","Belgium","Particulates < 10µm","18.9",""
"2019","Bulgaria","Particulates < 2.5µm","19.6",""
"2019","Bulgaria","Particulates < 10µm","30.4",""
"2019","Czechia","Particulates < 2.5µm","14.4",""
"2019","Czechia","Particulates < 10µm","20.3",""
"2019","Denmark","Particulates < 2.5µm","10",""
"2019","Denmark","Particulates < 10µm","16.5",""
"2019","Germany (until 1990 former territory of the FRG)","Particulates < 2.5µm","10.9",""
"2019","Germany (until 1990 former territory of the FRG)","Particulates < 10µm","16.1",""
"2019","Estonia","Particulates < 2.5µm","4.8",""
"2019","Estonia","Particulates < 10µm","10.8",""
"2019","Ireland","Particulates < 2.5µm","8.8",""
"2019","Ireland","Particulates < 10µm","12.7",""
"2019","Greece","Particulates < 2.5µm","14.1",""
"2019","Greece","Particulates < 10µm","27.5",""
"2019","Spain","Particulates < 2.5µm","11.8",""
"2019","Spain","Particulates < 10µm","19.4",""
"2019","France","Particulates < 2.5µm","10.4",""
"2019","France","Particulates < 10µm","17.4",""
"2019","Croatia","Particulates < 2.5µm","16",""
"2019","Croatia","Particulates < 10µm","30.9",""
"2019","Italy","Particulates < 2.5µm","15.1",""
"2019","Italy","Particulates < 10µm","25.5",""
"2019","Cyprus","Particulates < 2.5µm","13.4",""
"2019","Cyprus","Particulates < 10µm","26",""
"2019","Latvia","Particulates < 2.5µm","12.1",""
"2019","Latvia","Particulates < 10µm","20.2",""
"2019","Lithuania","Particulates < 2.5µm","11.1",""
"2019","Lithuania","Particulates < 10µm","21.9",""
"2019","Luxembourg","Particulates < 2.5µm","10.2",""
"2019","Luxembourg","Particulates < 10µm","20.3",""
"2019","Hungary","Particulates < 2.5µm","14.4",""
"2019","Hungary","Particulates < 10µm","24.4",""
"2019","Malta","Particulates < 2.5µm",":",""
"2019","Malta","Particulates < 10µm",":",""
"2019","Netherlands","Particulates < 2.5µm","10.4",""
"2019","Netherlands","Particulates < 10µm","19.1",""
"2019","Austria","Particulates < 2.5µm","12",""
"2019","Austria","Particulates < 10µm","17.4",""
"2019","Poland","Particulates < 2.5µm","19.3",""
"2019","Poland","Particulates < 10µm","27",""
"2019","Portugal","Particulates < 2.5µm","9.1",""
"2019","Portugal","Particulates < 10µm","18.6",""
"2019","Romania","Particulates < 2.5µm","16.4",""
